Designator,Mid X,Mid Y,Rotation,Layer
D1,5.25,57.0,0.0,top
D10,53.0,48.75,0.0,top
D11,56.25,57.0,0.0,top
D12,65.0,48.75,0.0,top
D13,61.25,57.0,0.0,top
D14,77.0,48.75,0.0,top
D15,66.25,57.0,0.0,top
D16,89.0,48.75,0.0,top
D2,5.0,48.75,0.0,top
D3,10.25,57.0,0.0,top
D4,17.0,48.75,0.0,top
D5,15.25,57.0,0.0,top
D6,29.0,48.75,0.0,top
D7,20.25,57.0,0.0,top
D8,41.0,48.75,0.0,top
D9,51.25,57.0,0.0,top
J1,80.25,59.5,180.0,top
J2,43.25,59.5,180.0,top
J3,91.25,59.5,180.0,top
J4,11.75,11.0,0.0,top
J5,35.75,11.0,0.0,top
J6,59.75,11.0,0.0,top
J7,83.75,11.0,0.0,top
K1,7.0,36.25,270.0,top
K2,19.0,36.25,270.0,top
K3,31.0,36.25,270.0,top
K4,43.0,36.25,270.0,top
K5,55.0,36.25,270.0,top
K6,67.0,36.25,270.0,top
K7,79.0,36.25,270.0,top
K8,91.0,36.25,270.0,top
R1,25.25,61.5,180.0,top
R2,25.25,60.0,180.0,top
R3,25.25,58.5,180.0,top
R4,25.25,57.0,180.0,top
R5,71.25,61.5,180.0,top
R6,71.25,60.0,180.0,top
R7,71.25,58.5,180.0,top
R8,71.25,57.0,180.0,top
RV1,7.0,22.25,0.0,top
RV2,19.0,22.25,0.0,top
RV3,31.0,22.25,0.0,top
RV4,43.0,22.25,0.0,top
RV5,55.0,22.25,0.0,top
RV6,67.0,22.25,0.0,top
RV7,79.0,22.25,0.0,top
RV8,91.0,22.25,0.0,top
